System Efficiency between SCOTTS RD REGULATOR (29355) and T14/1 (65041)
for period 2020-01-16 00:00 to 2020-02-17 00:00

System Efficiency (%):, 95.0

Diverted (ML):, 6570.6 0.0
Delivered (ML):, 6241.7
Evaporative loss (ML):, 54.3
Rainfall (ML):, 25.7
Seepage loss (ML):, not yet implemented
Unaccounted loss (ML):, 300.4

Outlets
Telemetered:, 166
Manually read:, 51 
Unmetered sites:, 4
Total:, 221
46 manually read meters are missing up to date readings.
outlet,object_id,RTU_totaliser (ML),flow_integral (ML),manual_reading (ML),diff,FG_calc (ML)
M1882A/1,64756,13.462,16.670,,-19.241,
M1882B/D,219615,,,,,
M1858/2,64759,4.225,5.243,,-19.411,
M1859/1,70765,8.766,9.751,,-10.099,
M1860A/1,70768,11.128,12.920,,-13.868,
M1882/1,64768,0.002,0.000,,100.000,
M1896A/1,64771,8.100,7.894,,2.542,
M1895/1,69949,32.084,37.880,,-15.302,
MC10 ANDREATTAS ESCAPE,30252,0.263,0.260,,1.420,
CAMPBELLS SWAMP,219709,0.000,0.000,,,
M1896/P,64777,,,,,
M1895/2,64774,,,,,
NERICON SWAMP,142432,,,,,
M1893/1,67471,4.900,8.471,,-42.152,
M1891/1,64780,41.942,40.087,,4.422,
M1891A/1,64783,15.700,14.885,,5.189,
M2785/1,64786,10.200,11.887,,-14.190,
M2699/1,67480,0.000,0.000,,,
M2784/1,64789,0.000,0.000,,,
M2783/1,67474,0.700,3.696,,-81.062,
M2699A/P,67477,,,,,
MC10 CAMPBELLS SWAMP ESC,200872,167.131,167.624,,-0.294,
M2782/1,64792,10.100,10.259,,-1.546,
N687/P,70324,,,,,
M1844/1,70201,2.931,1.763,,39.850,
ESC L170,30417,,,,,
M1854A/1,69826,0.000,0.000,,,
M1898A/1,64795,3.300,4.945,,-33.270,
N494/P,141317,,,,,
M1898/P,201042,,,0.000,,
M1898/1,64807,1.400,2.835,,-50.615,
M1893/2,64804,1.800,1.791,,0.501,
M2720/P,144910,,,,,
M1893/4,64798,0.000,0.917,,-100.000,
M1893/5,64810,21.700,23.502,,-7.667,
M2435/1,64813,49.300,48.561,,1.498,
MC10 ESC L173,30502,,,,,
M2628/1,64819,0.000,0.000,,,
M1893/3,64801,,,,,
M1893/P,206578,,,,,
M2628/2,69466,0.000,0.000,,,
M2398B/1,70195,0.005,0.234,,-97.753,
M2398/1,70519,0.000,0.000,,,
M2398F/1,145474,,,,,
M2398C/1,64825,0.000,0.000,,100.000,
M2019/1,64822,10.054,10.667,,-5.748,
M2014/1,64828,0.000,0.000,,,
M2014/2,64831,0.000,0.000,,,
M1999/1,64834,21.464,22.525,,-4.707,
M1999/4,64837,37.714,37.571,,0.377,
M2368A/1,69454,0.007,0.185,,-96.291,
M2014/3,64840,40.599,42.042,,-3.432,
M1999/2,64843,13.907,16.511,,-15.771,
M1999/3,64846,12.582,12.940,,-2.768,
M1997/1,64852,0.000,0.000,,100.000,
M2583/2,64855,0.000,0.000,,,
M2583/1,64858,0.000,0.000,,,
M1988/1,67504,0.001,0.000,,100.000,
M1988A/D,219467,,,,,
M1986/1,64882,0.000,0.000,,,
M1986/2,64885,0.000,0.000,,,
M1985A/1,70492,204.175,201.442,,1.338,
M2736/1,64891,2.853,3.009,,-5.182,
M2584/1,64888,0.000,0.000,,,
M1985B/D,206014,,,,,
M1985C/1,70501,15.513,13.584,,12.438,
MC10 LAT 179 ESC,30773,,,,,
M2737/1,69838,,,,,
M2368B/1,69445,,,,,
PICNIC/1,145503,,,,,
SAILING CLUB,64861,,,,,
BOAT CLUB,70057,,,,,
M2368B/2,69451,0.000,0.000,,,
M1165/1,64870,290.009,282.990,,2.420,
M1165/2,70912,,,52.800,,
M2674/P,142422,,,,,
M1891B/D,208598,,,,,
M1589/2,71170,,,,,
M2737/2,64879,10.006,12.859,,-22.185,
M1988/2,64873,0.000,0.000,,,
M1988/3,64876,0.000,0.000,,,
M2368B/3,69442,,,114.400,,
M2398D/1,70015,101.700,99.509,,2.155,
M1998/1,67507,115.600,119.074,,-2.917,
M2628B/1,64894,0.400,0.327,,18.178,
M2628C/D,206039,,,,,
M2741/1,64897,0.000,0.000,,,
M2741/2,220363,,,,,
M2741A/1,70360,,,,,
N244/1,64900,14.656,14.923,,-1.790,
N605/1,64903,73.871,67.616,,8.468,
M2741A/2,64906,0.000,0.000,,,
M2045/1,64909,17.000,26.122,,-34.920,
M2628D/1,64915,0.100,1.968,,-94.919,
N604/1,64918,0.000,0.000,,,
M2628E/1,70198,,,,,
M2043/1,64921,0.000,1.360,,-100.000,
M2038A/1,64927,0.600,0.298,,50.400,
M2614/1,70216,40.900,39.514,,3.388,
M2038/1,64924,0.800,2.104,,-61.975,
M2614/2,202028,,,12.500,,
M2615A/1,67510,48.100,46.873,,2.552,
M2038/2,64930,0.000,0.000,,,
N665/P,70693,,,,,
M2615/D,70048,,,,,
M2038C/1,64933,0.000,0.000,,,
M1631H/1,67513,35.200,34.674,,1.495,
M2038B/1,64936,0.200,0.231,,-13.538,
M1997/2,64939,1.400,2.213,,-36.732,
M1997/3,64942,0.000,0.000,,,
M1985/1,64954,4.000,4.329,,-7.590,
M1631D/1,68062,0.000,0.000,,100.000,
MC10 TEMPORALIS ESCAPE,55372,427.655,430.452,,-0.650,
M2646/P,69469,,,,,
M2628A/1,69475,9.699,12.633,,-23.225,
M2040A/1,69472,71.000,72.020,,-1.417,
M2040/P,64960,,,,,
M2743/1,70297,275.191,268.076,,2.585,
M2041A/1,67516,32.874,49.029,,-32.950,
M1986/3,67519,0.000,0.000,,,
MC10 LAT 188 ESC,59753,,,,,
M2045A/1,64957,49.250,67.924,,-27.493,
N689/P,70438,,,,,
N579/1,64966,13.200,14.614,,-9.677,
N566/1,64969,31.058,37.562,,-17.315,
M2041/1,214447,549.715,550.027,,-0.057,
M2041/2,71131,0.000,0.000,,,
N567/1,64972,2.500,5.435,,-54.005,
N568/1,64981,8.700,11.900,,-26.891,
N569/1,64978,23.823,30.239,,-21.219,
N570/1,64975,24.800,24.477,,1.304,
N571/1,64984,16.900,18.766,,-9.944,
N572/1,64987,32.600,41.791,,-21.993,
N573/1,64996,16.200,13.782,,14.925,
N574/1,64993,36.100,35.127,,2.694,
N575/1,64990,13.200,15.116,,-12.677,
N578/1,64999,5.400,5.151,,4.618,
MC10 NEWFARMS ESCAPE,31065,0.000,0.000,,,
N576/1,65002,52.300,47.606,,8.975,
M1997A/1,65005,0.000,0.000,,,
N577A/P,65008,,,,,
N577/1,65011,32.900,33.623,,-2.151,
T16/1,67522,325.575,328.294,,-0.828,
BWUA/1,65020,3.714,2.317,,37.623,
M2042/1,65014,159.700,158.127,,0.985,
M2014A/1,65017,0.000,0.000,,,
T16A/1,141752,252.753,248.242,,1.785,
T15C/1,69787,96.000,95.404,,0.620,
M2042A/1,70036,222.160,221.789,,0.167,
T17/1,69784,256.500,248.087,,3.280,
T17/2,65026,241.000,247.400,,-2.587,
T15/1,65023,713.743,712.457,,0.180,
T15A/D,67528,,,,,
T14C/P,70573,,,,,
T17/3,214443,318.769,318.967,,-0.062,
T20B/1,65032,0.000,0.000,,,
T18/1,65029,0.003,0.000,,100.000,
T18/2,65035,4.731,3.966,,16.171,
T20/1,65038,0.038,0.121,,-68.560,
MC10 WILLIAMS ESCAPE,31175,0.000,0.000,,,
T20A/P,67531,,,,,
T19A/1,69430,0.000,0.773,,-100.000,
T19/1,69433,0.000,0.000,,,
T14/1,65041,16.100,16.786,,-4.089,
, Total, 6062.0, 6198.6, 179.7, , 0.0

time of data collection: 2020-07-06 21:04

meters not read:
,145474
,69469
,69541
,64861
,70048
,67231
,67531
,206014
,145503
,64960
,64669
,64801
,219615
,70438
,70573
,64657
,70693
,65008
,71170
,70321
,148390
,142432
,69445
,219467
,69838
,70975
,206578
,70057
,70360
,67528
,64774
,142422
,64645
,67477
,144910
,208598
,206039
,70324
,64753
,70198
,220363
,64777
,141317
,64729
,69550
,69211
