System Efficiency between SCOTTS RD REGULATOR (29355) and T14/1 (65041)
for period 2019-12-16 00:00 to 2020-01-17 00:00

System Efficiency (%):, 98.9

Diverted (ML):, 9217.6 0.0
Delivered (ML):, 9112.1
Evaporative loss (ML):, 71.7
Rainfall (ML):, 0.8
Seepage loss (ML):, not yet implemented
Unaccounted loss (ML):, 34.6

Outlets
Telemetered:, 166
Manually read:, 51 
Unmetered sites:, 4
Total:, 221
36 manually read meters are missing up to date readings.
outlet,object_id,RTU_totaliser (ML),flow_integral (ML),manual_reading (ML),diff,FG_calc (ML)
M1866/3,64708,6.842,11.653,,-41.283,
M1876/2,64711,16.096,19.157,,-15.979,
M2560/1,64720,0.002,0.621,,-99.626,
M1887/P,64729,,,,,
M1874A/1,64723,11.040,16.051,,-31.222,
M1885/1,64717,14.571,16.797,,-13.250,
M1884/1,64714,0.000,0.000,,,
M1855/1,64732,13.702,17.299,,-20.795,
M1830/2,64738,10.693,10.368,,3.038,
M1856/D,69550,,,,,
M1857/1,69544,18.403,18.006,,2.156,
M1851/P,69541,,,,,
M1857/2,69553,12.425,13.280,,-6.442,
M1860/1,67468,9.779,15.276,,-35.985,
M1854B/1,64741,0.971,3.877,,-74.956,
M1861/1,70399,0.670,0.317,,52.748,
N601/P,64753,,,,,
M1865/2,64750,1.848,0.592,,67.959,
M1882A/1,64756,21.916,26.836,,-18.334,
M1882B/D,219615,,,,,
M1858/2,64759,6.854,7.853,,-12.717,
M1859/1,70765,8.771,13.515,,-35.100,
M1860A/1,70768,14.341,16.106,,-10.956,
M1882/1,64768,0.639,1.734,,-63.159,
M1896A/1,64771,12.400,10.102,,18.535,
M1895/1,69949,42.046,48.915,,-14.043,
MC10 ANDREATTAS ESCAPE,30252,12.131,12.137,,-0.052,
CAMPBELLS SWAMP,219709,0.000,0.000,,,
M1896/P,64777,,,,,
M1895/2,64774,,,,,
NERICON SWAMP,142432,,,0.000,,
M1893/1,67471,13.500,12.943,,4.127,
M1891/1,64780,77.262,77.839,,-0.741,
M1891A/1,64783,22.600,22.780,,-0.788,
M2785/1,64786,18.700,20.565,,-9.068,
M2699/1,67480,0.000,0.000,,,
M2784/1,64789,0.000,0.000,,,
M2783/1,67474,1.500,1.605,,-6.567,
M2699A/P,67477,,,,,
MC10 CAMPBELLS SWAMP ESC,200872,0.000,0.073,,-100.000,
M2782/1,64792,18.400,18.469,,-0.373,
N687/P,70324,,,,,
M1844/1,70201,4.574,5.350,,-14.519,
ESC L170,30417,,,,,
M1854A/1,69826,0.000,0.067,,-100.000,
M1898A/1,64795,3.600,4.181,,-13.886,
N494/P,141317,,,,,
M1898/P,201042,,,0.000,,
M1898/1,64807,3.500,14.732,,-76.243,
M1893/2,64804,7.700,9.052,,-14.939,
M2720/P,144910,,,,,
M1893/4,64798,0.100,0.264,,-62.111,
M1893/5,64810,32.200,36.978,,-12.920,
M2435/1,64813,78.500,76.019,,3.160,
MC10 ESC L173,30502,,,,,
M2628/1,64819,0.000,0.000,,,
M1893/3,64801,,,0.000,,
M1893/P,206578,,,,,
M2628/2,69466,0.000,0.000,,,
M2398B/1,70195,0.000,0.000,,100.000,
M2398/1,70519,0.013,1.018,,-98.724,
M2398F/1,145474,,,,,
M2398C/1,64825,0.000,0.000,,100.000,
M2019/1,64822,14.861,12.833,,13.649,
M2014/1,64828,0.000,0.000,,,
M2014/2,64831,0.000,0.000,,,
M1999/1,64834,30.337,31.603,,-4.004,
M1999/4,64837,9.867,10.775,,-8.423,
M2368A/1,69454,0.000,0.449,,-99.980,
M2014/3,64840,31.378,31.374,,0.011,
M1999/2,64843,19.918,20.509,,-2.881,
M1999/3,64846,21.363,22.863,,-6.559,
M1997/1,64852,0.000,0.000,,,
M2583/2,64855,0.000,0.000,,,
M2583/1,64858,0.005,0.721,,-99.307,
M1988/1,67504,0.000,0.000,,,
M1988A/D,219467,,,,,
M1986/1,64882,0.000,0.000,,,
M1986/2,64885,0.000,0.000,,,
M1985A/1,70492,309.000,286.615,,7.244,
M2736/1,64891,5.115,5.838,,-12.379,
M2584/1,64888,0.000,0.000,,,
M1985B/D,206014,,,,,
M1985C/1,70501,30.492,29.429,,3.487,
MC10 LAT 179 ESC,30773,,,,,
M2737/1,69838,,,0.000,,
M2368B/1,69445,,,0.000,,
PICNIC/1,145503,,,3.400,,
SAILING CLUB,64861,,,,,
BOAT CLUB,70057,,,,,
M2368B/2,69451,0.000,0.000,,,
M1165/1,64870,438.015,426.806,,2.559,
M1165/2,70912,,,33.400,,
M2674/P,142422,,,0.000,,
M1891B/D,208598,,,,,
M1589/2,71170,,,0.000,,
M2737/2,64879,19.187,21.787,,-11.935,
M1988/2,64873,0.000,0.000,,,
M1988/3,64876,0.000,0.000,,,
M2368B/3,69442,,,135.400,,
M2398D/1,70015,178.700,171.974,,3.764,
M1998/1,67507,149.200,144.694,,3.020,
M2628B/1,64894,0.000,0.000,,,
M2628C/D,206039,,,,,
M2741/1,64897,0.000,0.000,,,
M2741/2,220363,,,0.000,,
M2741A/1,70360,,,1.200,,
N244/1,64900,19.991,24.084,,-16.997,
N605/1,64903,130.056,126.342,,2.855,
M2741A/2,64906,0.000,0.414,,-100.000,
M2045/1,64909,20.400,30.081,,-32.183,
M2628D/1,64915,0.200,0.420,,-52.339,
N604/1,64918,0.000,0.000,,,
M2628E/1,70198,,,0.000,,
M2043/1,64921,0.900,1.811,,-50.305,
M2038A/1,64927,1.400,4.403,,-68.207,
M2614/1,70216,66.100,63.280,,4.266,
M2038/1,64924,2.500,3.148,,-20.579,
M2614/2,202028,,,13.500,,
M2615A/1,67510,65.500,65.293,,0.316,
M2038/2,64930,0.000,0.000,,,
N665/P,70693,,,,,
M2615/D,70048,,,,,
M2038C/1,64933,0.000,0.000,,,
M1631H/1,67513,48.400,47.536,,1.784,
M2038B/1,64936,0.300,0.349,,-14.128,
M1997/2,64939,1.800,1.770,,1.657,
M1997/3,64942,0.000,0.000,,,
M1985/1,64954,2.700,4.330,,-37.650,
M1631D/1,68062,0.001,0.000,,100.000,
MC10 TEMPORALIS ESCAPE,55372,555.420,559.915,,-0.803,
M2646/P,69469,,,,,
M2628A/1,69475,77.000,85.498,,-9.940,
M2040A/1,69472,101.400,107.217,,-5.426,
M2040/P,64960,,,,,
M2743/1,70297,377.594,367.751,,2.607,
M2041A/1,67516,4.856,12.248,,-60.352,
M1986/3,67519,0.000,0.000,,,
MC10 LAT 188 ESC,59753,,,,,
M2045A/1,64957,23.687,32.835,,-27.861,
N689/P,70438,,,,,
N579/1,64966,18.500,21.813,,-15.187,
N566/1,64969,35.991,44.170,,-18.517,
M2041/1,214447,809.669,810.270,,-0.074,
M2041/2,71131,0.000,0.000,,,
N567/1,64972,2.900,2.407,,17.008,
N568/1,64981,9.700,14.851,,-34.684,
N569/1,64978,33.181,41.189,,-19.442,
N570/1,64975,21.900,23.123,,-5.290,
N571/1,64984,1.000,1.388,,-27.949,
N572/1,64987,56.900,80.447,,-29.270,
N573/1,64996,24.800,22.137,,10.737,
N574/1,64993,37.000,34.958,,5.519,
N575/1,64990,23.100,29.070,,-20.536,
N578/1,64999,9.600,9.860,,-2.639,
MC10 NEWFARMS ESCAPE,31065,0.000,0.000,,,
N576/1,65002,81.600,77.018,,5.615,
M1997/4,65005,0.000,0.000,,,
N577A/P,65008,,,,,
N577/1,65011,49.000,53.920,,-9.124,
T16/1,67522,429.277,452.132,,-5.055,
BWUA/1,65020,3.849,1.843,,52.110,
M2042/1,65014,242.400,241.391,,0.416,
M2014A/1,65017,0.000,0.000,,,
T16A/1,141752,352.384,346.432,,1.689,
T15C/1,69787,575.000,574.113,,0.154,
M2042A/1,70036,309.746,300.715,,2.916,
T17/1,69784,362.300,352.745,,2.637,
T17/2,65026,309.700,307.831,,0.603,
T15/1,65023,1095.946,1094.454,,0.136,
T15A/D,67528,,,,,
T14C/P,70573,,,,,
T17/3,214443,502.458,503.143,,-0.136,
T20B/1,65032,0.000,0.000,,,
T18/1,65029,1.618,1.305,,19.359,
T18/2,65035,2.457,2.278,,7.288,
T20/1,65038,0.003,0.000,,100.000,
MC10 WILLIAMS ESCAPE,31175,0.000,0.000,,,
T20A/P,67531,,,,,
T19A/1,69430,0.100,2.056,,-95.137,
T19/1,69433,0.000,0.000,,,
T14/1,65041,34.300,8.633,,74.831,
, Total, 8925.2, 9037.6, 186.9, , 0.0

time of data collection: 2020-04-29 14:27

meters not read:
,64645
,64657
,219615
,148390
,206039
,70975
,65008
,70057
,70048
,70324
,64729
,219467
,70693
,70321
,64960
,70438
,67528
,208598
,144910
,67531
,67477
,69550
,206014
,69469
,70573
,64777
,64774
,145474
,64669
,141317
,69541
,206578
,69211
,64753
,67231
,64861
